,f_date,company,pct_change,article
2,2020-06-20,"Amazon.com, Inc. (AMZN)",0.014508378606029973,"Amazon (NASDAQ:AMZN) will get its start in delivering alcohol in India with a deal covering the eastern state of West Bengal, according to Reuters. India is considered a key growth market for the e-commerce heavyweight.
Alibaba (NYSE:BABA)-backed grocery venture BigBasket also landed approval to deliver alcohol in West Bengal, the fourth largest state in India with a population of more than 90M. Earlier this year, BigBasket landed an extra $50M from Alibaba in a bridge round that kept its valuation over $1B.
Indian food delivery startups Swiggy and Zomato started delivering alcohol to some cities in India last month during the lockdown period.
"
3,2020-06-18,"Amazon.com, Inc. (AMZN)",0.00492241520134507,"Valentino and Amazon (AMZN +0.1%) have filed a joint lawsuit against Kaitlyn Pan Group for allegedly counterfeiting the luxury brand's shoes.
Kaitlyn Pan was selling the shoes on Amazon's e-commerce platform until last September, when Amazon shut down the seller account.
Amazon has been rumored to be planning a luxury fashion portal similar to Alibaba's Tmall Luxury Pavilion, but luxury brands have said the risk of counterfeiting is too high.
Earlier this year, Amazon said it would report more counterfeit goods to law enforcement in the EU and the U.S. after facing increased scrutiny about its product policing.
"
4,2020-06-18,"Amazon.com, Inc. (AMZN)",0.00492241520134507,"Amazon (NASDAQ:AMZN) is hiring in South Africa for work from home roles providing support to customers in North America and Europe.
The jobs will range from customer service to tech experts.
The new hires will bring Amazon's permanent workforce in South Africa to 7,000.
Amazon's presence in South Africa dates back to 2004, and a customer service unit has existed since 2010. Amazon doesn't offer e-commerce in the region.
In April, Amazon announced its first AWS data center in Cape Town.
"
6,2020-06-17,"Amazon.com, Inc. (AMZN)",0.0098307095647432,"Citing ""several forms of valuation"" that make Amazon (NASDAQ:AMZN) worth $4,500 to $5,000 per share, Needham stars the company at Buy and a $3,200 12-month price target, or about 20% upside.
Needham's valuation factors in Amazon's ""track record of TAM-expanding decisions that elongate its growth runway"" and diversify its revenue stream, a Services business that stands at 43% of sales at a 19% operating contribution, and media asset values of about $500B.
The $4,500/share estimate also factors in the ecosystem value. Needham says Video, Music, Twitch, and groceries keep Prime subscribers in Amazon's ecosystem an extra three years and grows their lifetime value by 50%.
Amazon shares are up 0.8% pre-market to $2,637.06.
"
8,2020-06-17,"Amazon.com, Inc. (AMZN)",0.0098307095647432,"Starting with its facility in Kent, Washington, Amazon (NASDAQ:AMZN) will begin deploying devices today - shaped like clear plastic sleeves - that emit a loud beeping noise and flashing lights when workers are too close to one another.
Covid-detecting ""smart rings"" are also being trialed by staff at Las Vegas Sands (NYSE:LVS). The products, made by Finnish startup Oura, can reportedly predict the onset of coronavirus symptoms, like subtle changes in temperature, sleep patterns and heart rate.
"
11,2020-06-15,"Amazon.com, Inc. (AMZN)",0.010868249280019447,"In a letter to U.S. lawmakers viewed by The New York Times, Amazon's (AMZN -0.7%) lawyer says that CEO Jeff Bezos is willing to testify before a House antitrust investigation.
Amazon previously agreed to cooperate with the House Judiciary Committee's probe, but the tech giant didn't offer to send Bezos.
The House then threatened to compel Bezos to testify.
Amazon says it ""will make the appropriate executive available to testify,"" noting that this ""includes making Jeff Bezos available to testify at a hearing with the other C.E.O.’s this summer.""
Related: In May, the House Judiciary Committee requested testimony from Bezos regarding company employees lying about using third-party seller data to create competing products.
"
12,2020-06-14,"Amazon.com, Inc. (AMZN)",0.010868249280019447,"Washington state is also investigating whether Amazon (NASDAQ:AMZN) makes it harder for sellers to list their products on other websites, according to the NYT.
California investigators are probing similar business practices, while the European Commission is exploring Amazon's dual role as a marketplace and as a rival.
Last month, the U.S. House of Representatives Judiciary Committee called on Jeff Bezos to testify about allegations that Amazon uses data from its own third-party sellers to create competing products.
"
13,2020-06-12,"Amazon.com, Inc. (AMZN)",-0.005058695678309755,"California investigators are probing Amazon's (NASDAQ:AMZN) business practices, including its treatment of third-party sellers and sale of competing products, according to WSJ sources.
Amazon and California Attorney General Xavier Becerra declined to comment on the story.
In April, the WSJ reported that Amazon used third-party seller data to create private-label competitors for popular products.
Earlier today, the publication said the European Commission will file antitrust charges against Amazon as early as next week for its seller treatment.
"
15,2020-06-11,"Amazon.com, Inc. (AMZN)",-0.033802334947332126,"The European Commission will file formal antitrust charges against Amazon (NASDAQ:AMZN) as early as next week over the treatment of third-party sellers, according to WSJ sources.
Amazon is accused of using third-party seller data to launch competing private-label products, which echos a WSJ investigation published in April.
The antitrust watchdog has reportedly been circulating a draft of the charges for the past couple of months.
Amazon could be fined as much as 10% of its annual revenue if found guilty. The EU could take at least another year to make its final decision, and Amazon could appeal the ruling.
"
17,2020-06-11,"Amazon.com, Inc. (AMZN)",-0.033802334947332126,"A day after IBM said it would exit the facial recognition business, Amazon (NASDAQ:AMZN) announced it would ban the use of its facial recognition software by police for one year.
""We hope this one-year moratorium might give Congress enough time to implement appropriate rules, and we stand ready to help if requested,"" the company said in a statement.
Organizations focused on stopping human trafficking will still be permitted to use Rekognition, a product AWS launched in 2016.
"
