,f_date,company,pct_change,article
13,2020-06-12,"Amazon.com, Inc. (AMZN)",-0.005058695678309755,"California investigators are probing Amazon's (NASDAQ:AMZN) business practices, including its treatment of third-party sellers and sale of competing products, according to WSJ sources.
Amazon and California Attorney General Xavier Becerra declined to comment on the story.
In April, the WSJ reported that Amazon used third-party seller data to create private-label competitors for popular products.
Earlier today, the publication said the European Commission will file antitrust charges against Amazon as early as next week for its seller treatment.
"
15,2020-06-11,"Amazon.com, Inc. (AMZN)",-0.033802334947332126,"The European Commission will file formal antitrust charges against Amazon (NASDAQ:AMZN) as early as next week over the treatment of third-party sellers, according to WSJ sources.
Amazon is accused of using third-party seller data to launch competing private-label products, which echos a WSJ investigation published in April.
The antitrust watchdog has reportedly been circulating a draft of the charges for the past couple of months.
Amazon could be fined as much as 10% of its annual revenue if found guilty. The EU could take at least another year to make its final decision, and Amazon could appeal the ruling.
"
17,2020-06-11,"Amazon.com, Inc. (AMZN)",-0.033802334947332126,"A day after IBM said it would exit the facial recognition business, Amazon (NASDAQ:AMZN) announced it would ban the use of its facial recognition software by police for one year.
""We hope this one-year moratorium might give Congress enough time to implement appropriate rules, and we stand ready to help if requested,"" the company said in a statement.
Organizations focused on stopping human trafficking will still be permitted to use Rekognition, a product AWS launched in 2016.
"
29,2020-06-04,"Amazon.com, Inc. (AMZN)",-0.007181974138086542,"Tesla (NASDAQ:TSLA) CEO Elon Musk, in a reply on twitter, called for Amazon (NASDAQ:AMZN) to be broken up, noting ""monopolies are wrong!""
The tweet comes days after the entrepreneur said he was ""off twitter for a while"" and was in response to an email image of Amazon's restriction on a book that discussed the COVID-19 pandemic.
CNBC in a segment highlighted the animosity that may potentially exist between Elon and Amazon.com's CEO Jeff Bezos, not to mention their competing interests in space, with the latter's co. Blue Origin also building space craft. Amazon also invested in Rivian, an electric vehicle manufacturer.
The WSJ in late May also published a story noting that Amazon was in discussions to buy a driverless-technlogy startup named Zoox.
The tweet also comes at a time of increased regulatory scrutiny for some of the largest tech names. Wedbush's Dan Ives called it a ""storm cloud.""
Moments later, Elon Musk lent support to Jack Dorsey, saying ""Jack is doing his best. I support him"" -- a reply to an individual critiquing Twitter (NYSE:TWTR) and asking Musk to create a social site.
Tesla shares have lost steam in the early afternoon, now probing the lows of the day.
See all stocks on the move »"
30,2020-06-04,"Amazon.com, Inc. (AMZN)",-0.007181974138086542,"Amazon (NASDAQ:AMZN) is in early-stage talks with India's telecom giant Bharti Airtel (OTCPK:BHRQY) for a roughly 5% stake in the company, reports Reuters. A deal of that size would be around $2B.
Bharti said they routinely work with all digital players to bring their products, content, and services to customers. ""Beyond that there is no other activity to report,"" it said in a statement.
Lately, global players are vying for the slice in Indian digital market after Reliance Industries-owned Jio raised $10B from Facebook, KKR and other entities.
Bharti shares are up 4%.
"
41,2020-05-28,"Amazon.com, Inc. (AMZN)",-0.003854063206528779,"Amazon (NASDAQ:AMZN) says it will offer 125K of the 175K temporary workers it hired since March the option to stay on full time, signaling that the company expects its recent growth to continue.
Amazon says it will begin telling the employees in June that they can keep their roles longer term, and the remaining 50K workers it has brought on will stay on seasonal contracts that last up to 11 months.
The company has not disclosed how much it is spending to make the positions permanent and whether the cost would be in addition to the $4B it has forecast for virus-related expenses.
Amazon said it had 840K full and part-time staff at the end of Q1, while it still was in the process of hiring and has not reported an updated number.
"
47,2020-05-27,"Amazon.com, Inc. (AMZN)",-0.004736117485418386,"Morgan Stanley's Adam Jonas thinks Amazon (NASDAQ:AMZN) could be heading down the path of a last-mile delivery future using autonomous vehicles if it acquires Zoox.
""Following on from AMZN's commitment to buy 100,000 Rivian delivery vans between 2021-24, a potential Zoox transaction could make those custom vans autonomous as well. Together with AMZN's foray into autonomous line-haul trucking (Amazon's Self Driving Trucks and Autonomous Delivery Bots, Embark Releases AV Data, Boeing's Heavy Delivery Drone, CES Updates and More...) this could give AMZN autonomous middle-mile and last-mile capability,"" writes Jonas.
Importantly, Jonas notes that UPS (NYSE:UPS) and FedEx (NYSE:FDX) would have to respond to keep up with the cost and ESG benefits of an autonomous delivery platform from Amazon. That means more capex spending for both.
"
48,2020-05-26,"Amazon.com, Inc. (AMZN)",-0.006163527428979822,"Amazon (NASDAQ:AMZN) is in advanced talks to acquire Zoox Inc. in a move that would expand the company's reach in autonomous vehicle technology, WSJ reports.
The companies are discussing a deal that would value Zoox at less than the $3.2B it achieved in a funding round in 2018, according to the report.
Zoox has been working to develop the hardware and software needed to create electric powered robot taxis that would be summoned by a smartphone app starting this year.
"
51,2020-05-22,"Amazon.com, Inc. (AMZN)",-0.004029895714419751,"A day after launching its food delivery service in India, Amazon (NASDAQ:AMZN) said it plans to hire 50,000 seasonal workers to meet a surge in online shopping in the country.
The population has been stuck indoors for two months in a lockdown to fight the coronavirus outbreak.
""We want to continue helping customers all over India get everything they need so they can continue to practice social distancing,"" Amazon senior executive Akhil Saxena said in a statement on the company's blog.
"
52,2020-05-21,"Amazon.com, Inc. (AMZN)",-0.020496870304857362,"As Amazon.com (AMZN +0.5%) plots a return to pre-pandemic normalcy, it's moving its key Prime Day shopping event to September from July, the WSJ reports.
It's also opened up unlimited shipments of nonessential goods to warehouses, after earlier limiting those amid supply strains brought on by the COVID-19 pandemic, according to the report.
That's an indication that Amazon can now process orders more quickly and return to its pre-pandemic Prime shipping commitment, though perhaps not quite quickly enough to handle a summer Prime Day, when the company moves heavy amounts of discounted merchandise.
It could take months to return to normalcy on shipping speeds, the report says.
"
53,2020-05-21,"Amazon.com, Inc. (AMZN)",-0.020496870304857362,"Amazon.com (NASDAQ:AMZN) has launched its food delivery service in India, with an opportunity open as local players cut their workforces.
Amazon Food is now open in parts of Bangalore after a few delays, including one spurred by a nationwide stay-at-home order. It's promoting ""free and contactless delivery"" along with ""hygiene certified restaurants.""
It's been testing the delivery service with select restaurant partners there since earlier this year.
Amazon's latest move presents potential disruption (in this case) to existing players Zomato (which bought Uber Eats' India business earlier this year), Swiggy (backed by Prosus (OTCPK:PROSY)), and Dunzo (backed by Google (GOOG, GOOGL)).
Swiggy and Zomato are losing more than $15M a month; a VC at India Quotient says food delivery firms must keep subsidizing the cost of food items since otherwise most of their customers can't afford them.
"
54,2020-05-21,"Amazon.com, Inc. (AMZN)",-0.020496870304857362,"Amazon (NASDAQ:AMZN) says it is planning five new utility-scale solar projects in China, Australia and the U.S. that further support its commitment to reach 80% renewable energy by 2024 and 100% renewable energy by 2030 or perhaps as early as 2025.
One of the new projects is a 100 MW solar project in Shandong that will be Amazon's first renewable energy project in China.
The other projects include Amazon's second renewable energy project in Australia, a 105 MW facility, plus two new projects in Ohio and another in Virginia.
When complete, the five new projects will total 615 MW of installed capacity and supply ~1.2M MWh of additional renewable energy to the company's fulfillment network.
ETF: TAN
"
